Stock,MSE,Final Portfolio Value (RF),Final Portfolio Value (BH),Sharpe Ratio (RF),Sharpe Ratio (BH),Sortino Ratio (RF),Sortino Ratio (BH),Max Drawdown (RF),Max Drawdown (BH),Deflated Sharpe Ratio (RF),Deflated Sharpe Ratio (BH),Probabilistic Sharpe Ratio (RF),Probabilistic Sharpe Ratio (BH),Omega Ratio (RF),Omega Ratio (BH)
ABT,0.0009580194477127409,11239.333201450316,11418.005653586444,0.48444366443110143,0.4769355305865011,0.5656484813524109,0.771788465896405,-0.1484528411998113,-0.2087833101147078,0.006751930104481941,0.008306665919536238,1.0,1.0,1.140730634287289,1.0944838405719775
DHR,0.0012088406871282324,11467.265336428065,12367.915147680895,0.5202356428624834,0.6522140900238022,0.5161983642424091,0.9726402995651584,-0.146628082287543,-0.21288127491618158,0.0077701219356323785,0.010794407482191052,1.0,1.0,1.1480033846639015,1.1273740434886912
ACN,0.0015444201766938392,10946.559876532543,12903.540258824421,0.3631705429745027,0.7853387613578511,0.34593264991291595,1.0506112645896466,-0.24973779924764425,-0.2689488811447128,0.006826354818540983,0.011040594311982656,0.9999999999989425,1.0,1.1062068794560767,1.15900804935643
WFC,0.002286296388837974,11805.34726452348,12464.337949308707,0.6027412045369945,0.6103436755712672,0.5334852828263956,0.8473553152605465,-0.1268901511243122,-0.22668088858975094,0.008490960645628402,0.012468773808568293,1.0,1.0,1.182469300712934,1.1178688846756883
AVGO,0.006081816463001979,23451.327287285265,30742.4125172207,1.9923533585229147,1.9001817334485427,2.2342008269117084,3.0534366949947023,-0.15191681856071415,-0.2525291017162758,0.017492789160800173,0.025167505829945907,1.0,1.0,1.8910984295693536,1.4161395402643309
ADBE,0.0028175254720661713,13984.539820507704,15225.554558157066,0.8562323655465081,0.9192843237666515,0.7577958918560503,1.1889689238803678,-0.28616371276898667,-0.3083685451832843,0.014262019667386442,0.017614326280307496,1.0,1.0,1.2756287943044895,1.1930228064815618
VZ,0.0010113106523434935,10974.805392781618,12532.02072143267,0.3765740080875538,0.6991970863704754,0.3571304705250627,0.9825612709049979,-0.19261946249930784,-0.19236530819737074,0.006747629539847658,0.010742518122355599,0.9999999999998191,1.0,1.11297234813969,1.1488275124814753
CRM,0.0030506368280000863,10050.992437440294,16420.17749450812,0.10554320767053749,1.1022971077035688,0.07448008299852062,1.298685167972856,-0.2981791338446737,-0.31111218808255003,0.00860880704791658,0.017590984879477814,0.9822405813776374,1.0,1.0491338300034034,1.2514495951597473
TXN,0.0012170512456358734,12160.03307916074,12491.363020910421,0.6833155287199109,0.643628370905577,0.8934400275348277,1.0266007259424583,-0.20199078786176689,-0.23267343593673487,0.009136970381935972,0.011705648987582458,1.0,1.0,1.166951495053587,1.1177417787446002
NEE,0.0029447243249720815,14298.32476534643,12103.867534201849,1.093121500147634,0.5460654122370908,1.3904599005605351,0.705718031109633,-0.3022619651717873,-0.36765687151064386,0.011887685035054024,0.011958834759026891,1.0,1.0,1.2591978725175785,1.1084617843080522
CMCSA,0.0010895589967609024,9132.461672909863,11240.655812959916,-0.259611722120186,0.3941783064675427,-0.27844709718325494,0.5866531754674131,-0.23528976147247033,-0.20452481309913584,0.004745799003045281,0.009308286733839755,1.6927977507335943e-07,0.9999999999999833,0.949193613327466,1.0812400440427767
NFLX,0.0029359868381686883,17242.628470409774,20899.851707175927,1.4672771582831141,1.5170688021897636,1.916066466716198,2.516825371486403,-0.24101232363330835,-0.2751313781780304,0.014471202088607764,0.019805346164558556,1.0,1.0,1.4872547721391474,1.330499371743233
INTC,0.004737390141138846,15576.33997304157,8869.57197938211,1.267536544610651,0.05602890841098519,1.44146777372851,0.06450084546611042,-0.13065733468030638,-0.6228725128751044,0.013215086406238348,0.015170170102005654,1.0,0.8682813489568151,1.3776561793206115,1.014437686866607
LIN,0.0006063968124826203,12787.71208139258,15047.589693151818,1.1444258452250238,1.5580700993363428,1.2470612189299628,2.072809941527583,-0.07118448438842265,-0.1163849169460605,0.007400064402508824,0.009939208739758265,1.0,1.0,1.3082307468849281,1.3335183236119226
NKE,0.002646399456445131,9646.347035291103,7296.530940009081,0.023546000720059447,-0.5129231086343251,0.017698124450227472,-0.5454445043930267,-0.36517863707970294,-0.4344722737768388,0.008695593049848533,0.005911785598990789,0.6809175714908197,2.9010052586231463e-22,1.0166681767192003,0.907977915601766
AMD,0.005639739249735383,12979.899504118262,20418.1329756717,0.6017084520110704,1.1673732105345163,0.7135776073050232,1.760099088354225,-0.3349614554647048,-0.39128585865877424,0.016922462526353363,0.026115546692869397,1.0,1.0,1.1461902502070782,1.227052565339187
MDT,0.001007462445506997,11525.705893178152,11053.843834915948,0.620166387055824,0.37072086656074593,0.570919829899478,0.5471394350573835,-0.13565742609176482,-0.2276827015272566,0.006690472816136304,0.007875069395753572,1.0,0.9999999999996069,1.1947238089174752,1.075247016574517
UNP,0.0011039107774381803,10822.621973428893,13121.241879834683,0.3278325157174926,0.8764974809294892,0.5344733288558203,1.7982678031455315,-0.14307820418054873,-0.15204115513063737,0.006310387617472512,0.010603205026005733,0.9999999999111869,1.0,1.093537481131498,1.1839008724236095
QCOM,0.0027282720111962717,12193.840202274687,13973.873717615164,0.5664793929103564,0.7497021082977763,0.551379089454177,1.0194485565718496,-0.30169400712565503,-0.31251930375782067,0.011944920452725145,0.017036824381211294,1.0,1.0,1.1575612564369617,1.1442467411763846
